TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	7623.74	2656.51	3.707784e+000	2.846577e+000	64	20	5.234923e+000	0	0	0	0	0	0	3.8961	1	0	48.2044	20.4631
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	7649.1	2656.92	2.426241e+001	3.720043e+000	87	20	5.117586e+000	0	0	0	0	0	0	25.5162	1	1	46.8651	20.4496
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	7674.68	2656.41	5.920071e+000	2.879522e+000	68	20	4.959114e+000	0	0	0	0	0	0	6.23027	1	0	48.8603	20.2715
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	7699.58	2656.78	2.004355e+001	3.456830e+000	80.5	20	4.826959e+000	0	0	0	0	0	0	21.1057	1	1	50.1463	20.5483
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	7725.18	2656.44	2.765438e+001	3.946312e+000	89	20	4.693791e+000	0	0	0	0	0	0	29.1318	1	1	50.1463	20.167
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	7750.81	2656.65	8.725260e+000	2.946622e+000	69	20	4.755184e+000	0	0	0	0	0	0	9.19398	1	0	46.8651	20.4286
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	7776.01	2656.62	4.858962e+001	5.615062e+000	112	20	5.044206e+000	0	0	0	0	0	0	51.2059	1	1	49.5074	20.6692
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	7801.63	2656.53	8.029023e+000	2.926542e+000	70	20	5.049704e+000	0	0	0	0	0	0	8.46102	1	0	47.5395	20.4971
DATA	43	1	43	0	0	Negative042	Negative042	7826.7	2656.47	1.209891e+002	1.242202e+001	188	20	5.556211e+000	0	0	0	1	0	0	127.475	1	1	51.7088	20.8473
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	7852.42	2656.47	2.068262e+001	3.493741e+000	82.5	20	5.215889e+000	0	0	0	0	0	0	21.7837	1	1	49.1849	20.5342
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	7877.55	2656.47	1.899247e+002	1.920027e+001	262	20	5.478074e+000	0	0	0	0	0	0	199.937	1	1	51.4001	20.8615
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	7903.1	2656.62	4.515541e+001	5.323244e+000	108.5	21	5.058810e+000	0	0	0	0	0	0	47.5046	1	1	46.5243	20.9146
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	7928.44	2656.47	5.632398e+000	2.877006e+000	67	20	5.452905e+000	0	0	0	0	0	0	5.92054	1	0	49.8279	20.9719
DATA	48	1	48	0	0	ASCRP3009482	ASCRP3009482	7954	2656.54	3.058127e+000	2.840593e+000	64	21	5.216818e+000	0	0	0	0	0	0	3.21145	1	0	55.8519	21.051
DATA	49	1	49	0	0	ASCRP3010011	ASCRP3010011	7979.44	2656.53	1.951511e+001	3.435388e+000	81	20	5.522244e+000	0	0	0	0	0	0	20.4704	1	1	50.4627	20.855
DATA	50	1	50	0	0	A_23_P215720	NM_000492	8004.77	2656.85	2.878633e+000	2.838697e+000	64	20	4.976628e+000	0	0	0	0	0	0	2.21458	0	0	50.1463	20.6608
DATA	51	1	51	0	0	ASCRP3005914	ASCRP3005914	8030.06	2656.52	2.762062e+002	2.776572e+001	347.5	21	4.838251e+000	0	0	0	0	0	0	288.946	1	1	51.7088	21.0759
DATA	52	1	52	0	0	ASCRP3008448	ASCRP3008448	8055.58	2656.57	9.354638e+003	9.354681e+002	9791.5	20	5.008250e+000	0	0	0	0	0	0	9770.75	1	1	57.5363	20.7644
DATA	53	1	53	0	0	ASCRP3005403	ASCRP3005403	8081.07	2656.6	3.224947e+001	4.299996e+000	93.5	20	4.844550e+000	0	0	0	0	0	0	33.6263	1	1	50.1463	20.2133
DATA	54	1	54	0	0	ASCRP3004952	ASCRP3004952	8106.08	2656.83	6.300021e+002	6.306461e+001	706	20	5.080614e+000	0	0	0	0	0	0	655.724	1	1	46.8651	20.8159
DATA	55	1	55	0	0	ASCRP3011716	ASCRP3011716	8131.62	2656.39	1.743122e+002	1.766349e+001	240.5	20	5.040381e+000	0	0	0	0	0	0	181.062	1	1	50.7771	20.8724
DATA	56	1	56	0	0	AS_circRNA_control212	AS_circRNA_control212	8157.1	2656.61	1.275647e+002	1.307337e+001	192.5	21	5.382232e+000	0	0	0	0	0	0	132.229	1	1	52.9257	21.3824
