TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	1299.77	2656.84	5.065178e+001	5.918284e+000	119.5	20	5.171555e+000	0	0	0	0	0	0	54.8716	1	1	48.5334	20.8333
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	1325.16	2656.35	4.010836e+001	5.044892e+000	105	21	5.127761e+000	0	0	0	0	0	0	43.4636	1	1	46.5243	21.1134
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	1350.35	2656.88	7.738517e+001	8.321548e+000	147	22	5.279865e+000	0	0	0	0	0	0	83.8614	1	1	48.8603	22.0778
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	1376.05	2656.59	3.020222e+001	4.299532e+000	93	21	4.931829e+000	0	0	0	0	0	0	32.7286	1	1	48.8603	21.3264
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	1401.42	2657.08	1.890638e+001	3.597807e+000	83	21	5.561777e+000	0	0	0	0	0	0	20.4819	1	1	48.2044	21.65
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	1426.75	2656.36	8.723673e+001	9.245470e+000	159	21	5.416876e+000	0	0	0	0	0	0	94.4733	1	1	48.5334	21.7414
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	1452.34	2656.88	2.349646e+001	3.861265e+000	90.5	21	5.426688e+000	0	0	0	0	0	0	25.4289	1	1	48.8603	21.7899
DATA	43	1	43	0	0	Negative042	Negative042	1477.33	2656.6	1.663580e+002	1.691605e+001	234	21	4.959647e+000	0	0	0	0	0	0	179.904	1	1	50.7771	20.813
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	1502.77	2657.05	3.121555e+001	4.377897e+000	95	21	5.519739e+000	0	0	0	0	0	0	33.723	1	1	48.5334	21.0314
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	1528.37	2656.36	7.157140e+002	7.163735e+001	825.5	21	5.301986e+000	0	0	0	0	0	0	772.317	1	1	48.8603	21.071
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	1553.63	2656.65	1.121518e+002	1.162971e+001	180	20	5.401500e+000	0	0	0	0	0	0	120.853	1	1	51.4001	21.0269
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	1579.42	2656.57	3.734372e+000	3.104839e+000	65	20	4.939820e+000	0	0	0	0	0	0	4.0176	1	0	57.5363	20.5401
DATA	48	1	48	0	0	ASCRP3009482	ASCRP3009482	1604.58	2656.57	8.841037e+000	3.211886e+000	67	20	4.785228e+000	0	0	0	0	0	0	9.4946	1	0	57.5363	20.5985
DATA	49	1	49	0	0	ASCRP3010011	ASCRP3010011	1629.87	2656.49	9.781066e+000	3.244929e+000	74.5	21	4.851471e+000	0	0	0	0	0	0	10.4831	1	0	50.1463	21.3372
DATA	50	1	50	0	0	A_23_P215720	NM_000492	1655.03	2657.11	3.947674e+000	3.125872e+000	66	21	4.945292e+000	0	0	0	0	0	0	4.22168	1	0	46.8651	20.8933
DATA	51	1	51	0	0	ASCRP3005914	ASCRP3005914	1680.71	2656.76	3.007161e+003	3.007322e+002	3318	21	5.388290e+000	0	0	0	0	0	0	3207.96	1	1	51.4001	21.0561
DATA	52	1	52	0	0	ASCRP3008448	ASCRP3008448	1705.95	2657.29	1.069648e+004	1.069652e+003	11470	21	5.626939e+000	0	0	0	0	0	0	11380.7	1	1	45.835	21.065
DATA	53	1	53	0	0	ASCRP3005403	ASCRP3005403	1731.45	2656.35	1.479260e+001	3.458182e+000	78	21	5.264715e+000	0	0	0	0	0	0	15.6929	1	0	48.2044	21.1417
DATA	54	1	54	0	0	ASCRP3004952	ASCRP3004952	1756.78	2657.17	1.046927e+003	1.047396e+002	1157	21	6.083217e+000	0	0	0	0	0	0	1107.25	1	1	45.835	21.5731
DATA	55	1	55	0	0	ASCRP3011716	ASCRP3011716	1782.31	2656.34	3.617154e+002	3.630810e+001	439	22	5.685983e+000	0	0	0	0	0	0	381.261	1	1	48.5334	21.7495
DATA	56	1	56	0	0	AS_circRNA_control212	AS_circRNA_control212	1808.2	2657.04	2.955074e+002	2.971893e+001	363.5	21	5.450866e+000	0	0	0	0	0	0	310.364	1	1	47.8731	21.1148
DATA	57	1	57	0	0	ASCRP3000311	ASCRP3000311	1833.07	2656.49	1.250314e+001	3.406916e+000	77	20	5.411900e+000	0	0	0	0	0	0	13.0826	1	0	47.8731	20.9
DATA	58	1	58	0	0	ASCRP3001004	ASCRP3001004	1858.65	2656.54	6.915734e+000	3.256277e+000	71	21	5.215788e+000	0	0	0	0	0	0	7.20715	1	0	47.5395	21.1308
DATA	59	1	59	0	0	ASCRP3005954	ASCRP3005954	1883.73	2656.4	7.181871e+001	7.860633e+000	135	21	5.290524e+000	0	0	0	0	0	0	74.532	1	1	49.8279	20.9194
DATA	60	1	60	0	0	ASCRP3012098	ASCRP3012098	1909.08	2656.83	8.914275e+000	3.330891e+000	71	20	5.144666e+000	0	0	0	0	0	0	9.21059	1	0	46.8651	20.4806
DATA	61	1	61	0	0	ASCRP3003319	ASCRP3003319	1934.43	2656.39	9.058371e+001	9.615199e+000	156	20	4.876388e+000	0	0	0	0	0	0	93.1536	1	1	49.5074	20.4058
DATA	62	1	62	0	0	ASCRP3003051	ASCRP3003051	1960.23	2657.24	1.521960e+002	1.556068e+001	223	20	5.342955e+000	0	0	0	0	0	0	155.761	1	1	46.8651	20.8858
DATA	63	1	63	0	0	ASCRP3004503	ASCRP3004503	1985.18	2656.34	2.809346e+001	4.301220e+000	93	21	5.491044e+000	0	0	0	0	0	0	28.603	1	1	45.835	21.6648
DATA	64	1	64	0	0	Negative026	Negative026	2010.81	2656.89	3.328357e+000	3.274191e+000	62	21	4.731729e+000	0	0	0	0	0	0	-1.1047	0	0	47.8731	20.6378
DATA	65	1	65	0	0	ASCRP3002348	ASCRP3002348	2036.38	2656.68	4.296884e+001	5.413380e+000	105	20.5	5.387418e+000	0	0	0	0	0	0	43.2747	1	1	52.0157	20.9481
DATA	66	1	66	0	0	ASCRP3011765	ASCRP3011765	2061.74	2657.17	1.377863e+001	3.586439e+000	78	20	5.316797e+000	0	0	0	0	0	0	13.7989	1	0	45.835	20.9023
DATA	67	1	67	0	0	ASCRP3002944	ASCRP3002944	2087.29	2656.91	5.487316e+001	6.419351e+000	116	20	5.578698e+000	0	0	0	0	0	0	54.6227	1	1	46.8651	20.6792
