TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	4474.49	2656.63	2.672512e+001	3.505127e+000	93.5	20	5.028564e+000	0	0	0	0	0	0	29.4249	1	1	49.8279	20.4444
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	4500.07	2657.13	8.924170e+000	2.434038e+000	74	20	5.131225e+000	0	0	0	0	0	0	9.84051	1	0	46.8651	20.5566
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	4525.24	2656.58	2.992103e+001	3.750063e+000	96.5	21	5.155726e+000	0	0	0	0	0	0	33.0509	1	1	50.4627	20.7653
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	4550.92	2657.06	2.856476e+001	3.640968e+000	94	20	4.998190e+000	0	0	0	0	0	0	31.5933	1	1	49.1849	20.5631
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	4576.26	2656.73	2.069892e+001	3.060573e+000	86	21	4.981846e+000	0	0	0	0	0	0	22.9262	1	1	46.8651	20.5954
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	4601.72	2657.09	3.721798e+001	4.350154e+000	105	20	5.078958e+000	0	0	0	0	0	0	41.2658	1	1	48.8603	20.336
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	4626.92	2656.69	2.370809e+001	3.268178e+000	86.5	20	4.964465e+000	0	0	0	0	0	0	26.3172	1	1	48.2044	20.5385
DATA	43	1	43	0	0	Negative042	Negative042	4652.52	2657.17	1.101999e+002	1.124692e+001	186.5	20	5.417529e+000	0	0	0	0	0	0	122.415	1	1	49.1849	20.774
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	4677.99	2656.85	6.167742e+001	6.563962e+000	130.5	20	5.177757e+000	0	0	0	0	0	0	68.5715	1	1	46.8651	20.9403
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	4703.42	2657.08	3.534681e+002	3.541803e+001	453	20	4.435410e+000	0	0	0	0	0	0	393.164	1	1	48.2044	19.8961
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	4728.56	2656.47	7.359064e+001	7.693462e+000	143	20	4.794194e+000	0	0	0	0	0	0	81.906	1	1	49.1849	20.3473
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	4754.23	2656.92	3.314318e+000	2.267748e+000	68	20	4.954155e+000	0	0	0	0	0	0	3.68907	1	0	47.8731	20.1277
