TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	10803.9	236.537	1.724223e+001	2.593800e+000	49	20	5.370465e+000	0	0	0	0	0	0	16.146	1	1	50.4627	19.9563
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	10829	236.922	6.652079e+000	2.041199e+000	40	20	4.621369e+000	0	0	0	0	0	0	6.25493	1	0	45.835	19.9487
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	10854.5	236.711	4.235401e+001	4.651095e+000	73	19	5.002620e+000	0	0	0	0	0	0	39.9863	1	1	49.1849	19.2209
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	10879.6	236.551	8.321048e+000	2.087314e+000	44.5	19	4.891324e+000	0	0	0	0	0	0	7.88753	1	0	50.1463	19.2318
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	10905.4	236.685	3.157391e+000	1.932131e+000	38	19	5.049833e+000	0	0	0	0	0	0	3.00565	1	0	48.5334	19.5769
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	10930.9	236.809	1.700262e+001	2.548337e+000	53	19	4.953460e+000	0	0	0	0	0	0	16.2534	1	1	46.1809	19.2133
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	10956.1	236.446	1.388775e+001	2.345900e+000	47	19	4.902589e+000	0	0	0	0	0	0	13.3288	1	1	42.9674	19.2294
DATA	43	1	43	0	0	Negative042	Negative042	10981.4	236.704	7.591470e+001	7.821467e+000	105	19	5.282926e+000	0	0	0	0	0	0	73.163	1	1	51.0895	19.2706
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	11007.2	236.559	1.036809e+001	2.142728e+000	46.5	19	4.901193e+000	0	0	0	0	0	0	10.0328	1	1	46.8651	19.341
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	11032.4	236.566	3.913819e+002	3.918273e+001	415.5	19	5.088992e+000	0	0	0	0	0	0	380.227	1	1	51.4001	18.9714
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	11057.6	236.671	6.286996e+001	6.556508e+000	98	19	4.886386e+000	0	0	0	0	0	0	61.3172	1	1	47.8731	19.4658
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	11083.1	236.688	1.886763e+000	1.858070e+000	37	19	4.762004e+000	0	0	0	0	0	0	1.29131	0	0	49.8279	19.5126
