TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	10798.9	2655.96	1.146419e+001	2.623885e+000	74	21	5.052645e+000	0	0	0	0	0	0	12.3156	1	0	46.8651	20.6202
DATA	36	1	36	0	0	ASCRP3001026	ASCRP3001026	10824.1	2656.09	3.576767e+001	4.284851e+000	100	20	4.955439e+000	0	0	0	0	0	0	38.4372	1	1	47.5395	20.3406
DATA	37	1	37	0	0	ASCRP3002469	ASCRP3002469	10849.2	2656.11	7.286772e+000	2.468840e+000	71	21	5.223698e+000	0	0	0	0	0	0	7.83237	1	0	47.8731	20.975
DATA	38	1	38	0	0	ASCRP3005995	ASCRP3005995	10874.6	2656.03	2.241806e+001	3.254044e+000	85.5	20	4.896232e+000	0	0	0	0	0	0	24.099	1	1	48.5334	20.4385
DATA	39	1	39	0	0	ASCRP3003059	ASCRP3003059	10900.1	2656.18	2.878487e+001	3.721558e+000	92	21	5.257317e+000	0	0	0	0	0	0	30.9399	1	1	46.8651	20.8677
DATA	40	1	40	0	0	ASCRP3008503	ASCRP3008503	10925.4	2656.01	1.300579e+001	2.694048e+000	75.5	20	5.033493e+000	0	0	0	0	0	0	13.9769	1	1	48.2044	20.5324
DATA	41	1	41	0	0	ASCRP3008062	ASCRP3008062	10951.1	2655.91	3.156058e+001	3.940952e+000	95	20	5.006012e+000	0	0	0	0	0	0	33.9048	1	1	46.8651	20.7113
DATA	42	1	42	0	0	ASCRP3009593	ASCRP3009593	10976.4	2655.99	1.178666e+001	2.639276e+000	75	20	5.235752e+000	0	0	0	0	0	0	12.6552	1	0	48.2044	20.7778
DATA	43	1	43	0	0	Negative042	Negative042	11001.7	2656.1	2.059884e+002	2.073395e+001	282	20	5.334964e+000	0	0	0	0	0	0	221.011	1	1	49.8279	20.9375
DATA	44	1	44	0	0	ASCRP3006330	ASCRP3006330	11027	2655.83	3.123578e+001	3.917889e+000	99	20	5.500924e+000	0	0	0	0	0	0	33.4877	1	1	46.8651	20.9491
DATA	45	1	45	0	0	ASCRP3003988	ASCRP3003988	11052.6	2656	2.548135e+002	2.559109e+001	334.5	21	4.810851e+000	0	0	0	0	0	0	272.901	1	1	49.8279	20.6191
DATA	46	1	46	0	0	ASCRP3000521	ASCRP3000521	11078	2655.99	5.844316e+001	6.306627e+000	123	20	4.815492e+000	0	0	0	0	0	0	62.5203	1	1	46.8651	20.5293
DATA	47	1	47	0	0	ASCRP3012738	ASCRP3012738	11103.4	2656.04	5.961452e+000	2.446957e+000	69	21	4.764796e+000	0	0	0	0	0	0	6.36902	1	0	48.8603	21.1255
DATA	48	1	48	0	0	ASCRP3009482	ASCRP3009482	11129	2656	7.199934e+000	2.483319e+000	66	21	4.904908e+000	0	0	0	0	0	0	7.68108	1	0	54.9904	21.1146
DATA	49	1	49	0	0	ASCRP3010011	ASCRP3010011	11154.2	2656.07	1.289460e+001	2.707238e+000	76	21	4.993893e+000	0	0	0	0	0	0	13.7345	1	1	47.8731	21.0281
DATA	50	1	50	0	0	A_23_P215720	NM_000492	11179.7	2655.9	4.975497e+000	2.435849e+000	66	21	5.268423e+000	0	0	0	0	0	0	5.29054	1	0	45.835	21.1883
DATA	51	1	51	0	0	ASCRP3005914	ASCRP3005914	11204.9	2656.07	2.624519e+002	2.635369e+001	342	21	5.320013e+000	0	0	0	0	0	0	278.545	1	1	46.8651	21.0311
DATA	52	1	52	0	0	ASCRP3008448	ASCRP3008448	11230.2	2655.86	9.156274e+003	9.156305e+002	9764	20	5.470002e+000	0	0	0	0	0	0	9698.68	1	1	49.5074	20.9604
DATA	53	1	53	0	0	ASCRP3005403	ASCRP3005403	11255.8	2656.05	1.936204e+001	3.082808e+000	83	20	4.876197e+000	0	0	0	0	0	0	20.4642	1	1	49.1849	20.6601
DATA	54	1	54	0	0	ASCRP3004952	ASCRP3004952	11280.8	2655.64	8.371527e+002	8.374978e+001	942.5	21	5.352603e+000	0	0	0	0	0	0	882.896	1	1	45.1352	20.966
DATA	55	1	55	0	0	ASCRP3011716	ASCRP3011716	11306.4	2656.04	1.673138e+002	1.690407e+001	240	20	5.290982e+000	0	0	0	0	0	0	176.021	1	1	49.1849	20.0597
DATA	56	1	56	0	0	AS_circRNA_control212	AS_circRNA_control212	11331.9	2655.5	1.366584e+002	1.387775e+001	203	20	4.868509e+000	0	0	0	0	0	0	143.421	1	1	50.4627	20.299
DATA	57	1	57	0	0	ASCRP3000311	ASCRP3000311	11357.3	2655.58	6.298341e+000	2.502873e+000	66.5	20	5.101982e+000	0	0	0	0	0	0	6.59254	1	0	50.4627	20.4764
DATA	58	1	58	0	0	ASCRP3001004	ASCRP3001004	11382.8	2655.51	1.350635e+001	2.779215e+000	76	20	4.946616e+000	0	0	0	0	0	0	14.0987	1	1	47.5395	20.3051
DATA	59	1	59	0	0	ASCRP3005954	ASCRP3005954	11408.3	2655.88	3.418377e+001	4.197553e+000	96	21	5.302744e+000	0	0	0	0	0	0	35.5796	1	1	48.8603	20.846
DATA	60	1	60	0	0	ASCRP3012098	ASCRP3012098	11433.7	2655.76	6.762565e+000	2.534993e+000	67	20	5.111517e+000	0	0	0	0	0	0	7.01819	1	0	49.1849	20.2939
