TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer	text	integer	boolean
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType	DyeNorm_NormFilename	DyeNorm_NormNumProbes	Grid_IsGridFile
DATA	GE1_1100_Jul11 (Read Only)	1-Jul-2011 22:30	Agilent Technologies Scanner G2505C US10450393	1	02-04-2016 13:48:02	5	5	c19ba24b-c1d7-4d38-8428-22822d882a7d	1	074301_D_F_20150519	19-May-2015 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	2_2		F:\2016.02.04 Human circ 1-color 8x15k(ouyangqingqing,yangliu,wangfei,jiyuqiang,linzhaoyu,xuming)\\US10450393_S01.tif	US10450393_S01	b629fdab-887f-4118-a782-34be10350407	074301_D_F_20150519.xml	04-Feb-2016 14:06:39	admin	HP4400-CDFC11DC	11.0.1.1	0	0	0		0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	text	float	float	float	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	ImageDepth	AFHold	gPMTVolts	GlassThickness	gDDN	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange	Metric_gDDN	Metric_gDDN_IsInRange
DATA	7.54502	7.54502	1.83811	0	778083	1.38363	1.90333	0.726953	0	13.5974	21.1424	1.33474	15460	21.1424	1.33474	15460	2	53	0	143	7.54502	360.104	2464.71	15550	0.012818	0	0.339678	0.91649	0.00663702	1148	963	1.39901	1.59475	1.00233	3.59924	34.3783	0	6409.12	43.3338	23.1737	5.70262	0	59.6772	34.2704	24.6368	-1	1.9345	77	25.4794	1.69083	-1.29204	1.42809	0.236621	1.0141	0.0710805	265	1.59475	15603	4.34276	7.61918	0.994578	0.991954	15254	0	0.0487805	0.0231986	1.00044	(+)E1A_r60_3	0	0	0	0	0	0	0	0	0	0	-1	16.5244	7.23976	5.31971	-1	632.5	44.3589	61.5333	22.1667	1.945	2.29605	0	1	0	13762	50.3214	1	ExtractionEvaluate	10094	20 Bit	0	355	967.284	0	0	3.76089	1	1	0.012818	1	25.4794	1	-1.29204	1	1.42809	1	1.59475	1	5.31971	1	-1	0	0	0	-1	0	0	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	3564.7	2697.86	3.036403e+004	3.036403e+003	30812	19	5.581274e+000	0	0	0	0	0	0	30779.8	1	1	53.2255	19.1958
DATA	2	1	2	66	1	DarkCorner	DarkCorner	3590.39	2697.93	1.609410e+000	1.583789e+000	29.5	19	5.484385e+000	0	0	0	0	0	0	-2.86255	0	0	53.8203	18.8951
DATA	3	1	3	66	1	DarkCorner	DarkCorner	3615.5	2698	1.619055e+000	1.593281e+000	31	19	5.419616e+000	0	0	0	0	0	0	-2.07398	0	0	54.1152	18.9637
DATA	4	1	4	0	0	ASCRP3005920	ASCRP3005920	3641.04	2697.89	2.643186e+001	3.090808e+000	59	18	4.974989e+000	0	0	0	0	0	0	26.3109	1	1	51.4001	18.6455
DATA	5	1	5	0	0	ASCRP3009233	ASCRP3009233	3666.02	2697.86	1.635943e+000	1.617082e+000	33	17	4.791688e+000	0	0	0	0	1	0	1.50808	0	0	46.1809	17.5558
DATA	6	1	6	0	0	ASCRP3009385	ASCRP3009385	3691.6	2697.64	3.797853e+002	3.801294e+001	407.5	19	4.874808e+000	0	0	0	0	0	0	374.535	1	1	47.2035	18.7481
DATA	7	1	7	0	0	ASCRP3005239	ASCRP3005239	3717.44	2698.45	2.964860e+000	1.650493e+000	35	18	4.640200e+000	0	0	0	0	0	0	2.9121	1	0	43.7019	17.7732
DATA	8	1	8	0	0	ASCRP3002896	ASCRP3002896	3742.5	2697.85	1.017186e+001	1.920658e+000	42	18	5.121158e+000	0	0	0	0	0	0	9.95683	1	1	48.5334	18.195
DATA	9	1	9	0	0	ASCRP3012599	ASCRP3012599	3767.88	2698.18	1.660571e+000	1.637354e+000	33	18	5.017926e+000	0	0	0	0	0	0	1.00135	0	0	46.1809	18.4311
DATA	10	1	10	0	0	ASCRP3008371	ASCRP3008371	3793.3	2697.97	2.104923e+001	2.667397e+000	52	18	5.242448e+000	0	0	0	0	0	0	20.4886	1	1	48.8603	18.6452
DATA	11	1	11	0	0	ASCRP3002296	ASCRP3002296	3818.5	2698	1.668515e+000	1.649358e+000	32	19	5.206872e+000	0	0	0	0	0	0	1.51626	0	0	54.1152	19.1838
DATA	12	1	12	0	0	ASCRP3009151	ASCRP3009151	3843.66	2697.9	1.177601e+001	2.022976e+000	42	18	4.971204e+000	0	0	0	0	0	0	11.417	1	1	45.835	18.3607
DATA	13	1	13	0	0	ASCRP3003948	ASCRP3003948	3869.64	2697.86	2.712265e+000	1.669500e+000	33	19	5.196657e+000	0	0	0	0	0	0	2.62571	1	0	45.1352	19.4617
DATA	14	1	14	0	0	ASCRP3004099	ASCRP3004099	3894.39	2697.71	7.783958e+000	1.823553e+000	39	18	4.966765e+000	0	0	0	0	0	0	7.52753	1	0	46.8651	18.4352
DATA	15	1	15	0	0	ASCRP3000075	ASCRP3000075	3920.27	2697.92	4.630875e+000	1.714101e+000	36	18	4.613356e+000	0	0	0	0	0	0	4.47483	1	0	45.835	18.2854
DATA	16	1	16	0	0	ASCRP3009851	ASCRP3009851	3945.64	2697.96	2.132072e+000	1.664816e+000	34	17	4.832422e+000	0	0	0	0	0	0	2.0593	1	0	48.5334	17.8673
DATA	17	1	17	0	0	ASCRP3000317	ASCRP3000317	3971.31	2697.99	3.776846e+001	4.122087e+000	68	18	4.835512e+000	0	0	0	0	0	0	36.4734	1	1	47.2035	18.567
DATA	18	1	18	0	0	ASCRP3008068	ASCRP3008068	3996.44	2697.59	3.982499e+001	4.311233e+000	72	18	4.741599e+000	0	0	0	0	0	0	38.4637	1	1	46.1809	18.1938
DATA	19	1	19	0	0	ASCRP3009183	ASCRP3009183	4021.79	2697.81	4.675703e+001	4.958492e+000	76	18	5.029682e+000	0	0	0	0	0	0	45.1753	1	1	47.5395	18.3123
DATA	20	1	20	0	0	ASCRP3007386	ASCRP3007386	4047.5	2698	1.881312e+001	2.502086e+000	49	18	4.861410e+000	0	0	0	0	0	0	18.1878	1	1	65	18.1594
DATA	21	1	21	0	0	ASCRP3007026	ASCRP3007026	4072.5	2698	1.674900e+000	1.656379e+000	32	18	4.951020e+000	0	0	0	0	0	0	1.58706	0	0	65	18.1365
DATA	22	1	22	0	0	ASCRP3005415	ASCRP3005415	4098.06	2697.56	8.679052e+000	1.861275e+000	37	17	4.735361e+000	0	0	0	0	0	0	8.40607	1	1	44.0646	17.8574
DATA	23	1	23	0	0	CUST_18_PI418767722	NM_000754	4123.53	2698	1.671131e+000	1.646355e+000	32	18	4.997385e+000	0	0	0	0	0	0	0.751879	0	0	44.0646	18.546
DATA	24	1	24	0	0	ASCRP3000412	ASCRP3000412	4149.06	2698.18	3.104487e+001	3.512091e+000	63	18	5.381834e+000	0	0	0	0	0	0	30.1472	1	1	46.8651	18.8878
DATA	25	1	25	0	0	ASCRP3012942	ASCRP3012942	4174.5	2698	4.317789e+001	4.618650e+000	69.5	19	5.264115e+000	0	0	0	0	0	0	41.9942	1	1	47.2035	19.1746
DATA	26	1	26	0	0	ASCRP3001268	ASCRP3001268	4200	2697.7	5.180733e+000	1.716962e+000	36	18	4.974475e+000	0	0	0	0	0	0	5.04722	1	0	47.5395	18.334
DATA	27	1	27	0	0	ASCRP3011593	ASCRP3011593	4225.09	2697.93	2.109860e+000	1.647581e+000	33.5	19	5.528297e+000	0	0	0	0	0	0	2.05916	1	0	54.4085	18.9122
DATA	28	1	28	0	0	ASCRP3002850	ASCRP3002850	4250.5	2698	1.567115e+001	2.261779e+000	46	19	5.342075e+000	0	0	0	0	0	0	15.3239	1	1	54.1152	19.1764
DATA	29	1	29	0	0	ASCRP3010443	ASCRP3010443	4275.71	2698	1.653966e+000	1.631197e+000	31	18	4.699647e+000	0	0	0	0	0	0	1.05548	0	0	41.4593	17.9091
DATA	30	1	30	0	0	ASCRP3007634	ASCRP3007634	4300.91	2697.8	1.944714e+000	1.635863e+000	33	18	4.823102e+000	0	0	0	0	0	0	1.90938	1	0	45.835	18.1036
DATA	31	1	31	0	0	ASCRP3001637	ASCRP3001637	4326.56	2697.97	2.256506e+001	2.778231e+000	54	18	4.784188e+000	0	0	0	0	0	0	22.2034	1	1	48.2044	18.6692
DATA	32	1	32	0	0	ASCRP3012615	ASCRP3012615	4352.18	2697.83	2.031206e+000	1.629815e+000	33	17.5	4.532227e+000	0	0	0	0	0	0	2.00312	1	0	46.1809	17.8177
DATA	33	1	33	0	0	ASCRP3011633	ASCRP3011633	4377.5	2698	4.334737e+001	4.625285e+000	73	18	4.973056e+000	0	0	0	0	0	0	42.8442	1	1	54.1152	18.5217
DATA	34	1	34	0	0	ASCRP3013504	ASCRP3013504	4402.8	2697.78	5.972238e+002	5.974408e+001	624.5	18	5.031068e+000	0	0	0	0	0	0	591.636	1	1	47.8731	18.2543
DATA	35	1	35	0	0	ASCRP3001826	ASCRP3001826	4428.37	2697.8	3.700166e+000	1.648161e+000	34	19	4.766450e+000	0	0	0	0	0	0	3.67404	1	0	39.4933	18.4138
