ProbeName	circRNA
ASCRP3001954	hsa_circRNA_104574
ASCRP3001955	hsa_circRNA_405199
ASCRP3001956	hsa_circRNA_022970
ASCRP3001957	hsa_circRNA_103128
ASCRP3001958	hsa_circRNA_027776
ASCRP3001959	hsa_circRNA_005322
ASCRP3001960	hsa_circRNA_104753
ASCRP3001961	hsa_circRNA_000441
ASCRP3001962	hsa_circRNA_092471
ASCRP3001963	hsa_circRNA_100848
ASCRP3001964	hsa_circRNA_074183
ASCRP3001965	hsa_circRNA_002905
ASCRP3001966	hsa_circRNA_004649
ASCRP3001967	hsa_circRNA_092573
ASCRP3001968	hsa_circRNA_005068
ASCRP3001969	hsa_circRNA_010048
ASCRP3001970	hsa_circRNA_000864
ASCRP3001971	hsa_circRNA_030101
ASCRP3001972	hsa_circRNA_406799
ASCRP3001973	hsa_circRNA_403425
ASCRP3001974	hsa_circRNA_101613
ASCRP3001975	hsa_circRNA_007832
ASCRP3001976	hsa_circRNA_103393
ASCRP3001977	hsa_circRNA_000555
ASCRP3001978	hsa_circRNA_103968
ASCRP3001979	hsa_circRNA_101484
ASCRP3001980	hsa_circRNA_105032
ASCRP3001981	hsa_circRNA_404711
ASCRP3001982	hsa_circRNA_000569
ASCRP3001983	hsa_circRNA_000889
ASCRP3001984	hsa_circRNA_101993
ASCRP3001985	hsa_circRNA_406320
ASCRP3001986	hsa_circRNA_400262
ASCRP3001987	hsa_circRNA_100249
ASCRP3001988	hsa_circRNA_403236
ASCRP3001989	hsa_circRNA_049948
ASCRP3001990	hsa_circRNA_406133
ASCRP3001991	hsa_circRNA_100128
ASCRP3001992	hsa_circRNA_100575
ASCRP3001993	hsa_circRNA_104107
ASCRP3001994	hsa_circRNA_046141
ASCRP3001995	hsa_circRNA_056768
ASCRP3001996	hsa_circRNA_404154
ASCRP3001997	hsa_circRNA_405362
ASCRP3001998	hsa_circRNA_005264
ASCRP3001999	hsa_circRNA_103005
ASCRP3002000	hsa_circRNA_090183
ASCRP3002001	hsa_circRNA_101287
ASCRP3002002	hsa_circRNA_007899
ASCRP3002003	hsa_circRNA_405195
ASCRP3002004	hsa_circRNA_085494
ASCRP3002005	hsa_circRNA_002125
ASCRP3002006	hsa_circRNA_103331
ASCRP3002007	hsa_circRNA_007229
ASCRP3002008	hsa_circRNA_072628
ASCRP3002009	hsa_circRNA_014205
ASCRP3002010	hsa_circRNA_402803
ASCRP3002011	hsa_circRNA_100465
ASCRP3002012	hsa_circRNA_092393
ASCRP3002013	hsa_circRNA_007232
ASCRP3002014	hsa_circRNA_104487
ASCRP3002015	hsa_circRNA_000533
ASCRP3002016	hsa_circRNA_003101
ASCRP3002017	hsa_circRNA_404663
ASCRP3002018	hsa_circRNA_404798
ASCRP3002019	hsa_circRNA_002117
ASCRP3002020	hsa_circRNA_407280
ASCRP3002021	hsa_circRNA_405340
ASCRP3002022	hsa_circRNA_102110
ASCRP3002023	hsa_circRNA_104678
ASCRP3002024	hsa_circRNA_103863
ASCRP3002025	hsa_circRNA_400997
ASCRP3002026	hsa_circRNA_052947
ASCRP3002027	hsa_circRNA_059354
ASCRP3002028	hsa_circRNA_100050
ASCRP3002029	hsa_circRNA_092508
ASCRP3002030	hsa_circRNA_102625
ASCRP3002031	hsa_circRNA_006906
ASCRP3002032	hsa_circRNA_004429
ASCRP3002033	hsa_circRNA_030953
ASCRP3002034	hsa_circRNA_004745
ASCRP3002035	hsa_circRNA_402265
ASCRP3002036	hsa_circRNA_102900
ASCRP3002037	hsa_circRNA_019504
ASCRP3002038	hsa_circRNA_102638
ASCRP3002039	hsa_circRNA_400655
ASCRP3002040	hsa_circRNA_101957
ASCRP3002041	hsa_circRNA_102129
ASCRP3002042	hsa_circRNA_000252
ASCRP3002043	hsa_circRNA_101896
ASCRP3002044	hsa_circRNA_048810
ASCRP3002045	hsa_circRNA_007860
ASCRP3002046	hsa_circRNA_001267
ASCRP3002047	hsa_circRNA_402962
ASCRP3002048	hsa_circRNA_013187
ASCRP3002049	hsa_circRNA_018380
ASCRP3002050	hsa_circRNA_400105
ASCRP3002051	hsa_circRNA_100874
ASCRP3002052	hsa_circRNA_002228
ASCRP3002053	hsa_circRNA_103654
ASCRP3002054	hsa_circRNA_004804
ASCRP3002055	hsa_circRNA_103611
ASCRP3002056	hsa_circRNA_404560
ASCRP3002057	hsa_circRNA_103571
ASCRP3002058	hsa_circRNA_404471
ASCRP3002059	hsa_circRNA_406023
ASCRP3002060	hsa_circRNA_102620
ASCRP3002061	hsa_circRNA_406474
ASCRP3002062	hsa_circRNA_085302
ASCRP3002063	hsa_circRNA_101147
ASCRP3002064	hsa_circRNA_002576
ASCRP3002065	hsa_circRNA_063206
ASCRP3002066	hsa_circRNA_104669
ASCRP3002067	hsa_circRNA_057727
ASCRP3002068	hsa_circRNA_054626
ASCRP3002069	hsa_circRNA_100637
ASCRP3002070	hsa_circRNA_103274
ASCRP3002071	hsa_circRNA_092562
ASCRP3002072	hsa_circRNA_406752
ASCRP3002073	hsa_circRNA_404209
ASCRP3002074	hsa_circRNA_006023
ASCRP3002075	hsa_circRNA_405243
ASCRP3002076	hsa_circRNA_004417
ASCRP3002077	hsa_circRNA_005525
ASCRP3002078	hsa_circRNA_005839
ASCRP3002079	hsa_circRNA_003658
ASCRP3002080	hsa_circRNA_100125
ASCRP3002081	hsa_circRNA_402563
ASCRP3002082	hsa_circRNA_405361
ASCRP3002083	hsa_circRNA_043368
ASCRP3002084	hsa_circRNA_056670
ASCRP3002085	hsa_circRNA_060102
ASCRP3002086	hsa_circRNA_100564
ASCRP3002087	hsa_circRNA_405862
ASCRP3002088	hsa_circRNA_030910
ASCRP3002089	hsa_circRNA_006230
ASCRP3002090	hsa_circRNA_403788
ASCRP3002091	hsa_circRNA_104855
ASCRP3002092	hsa_circRNA_100359
ASCRP3002093	hsa_circRNA_001831
ASCRP3002094	hsa_circRNA_104756
ASCRP3002095	hsa_circRNA_406338
ASCRP3002096	hsa_circRNA_050715
ASCRP3002097	hsa_circRNA_002076
ASCRP3002098	hsa_circRNA_100531
ASCRP3002099	hsa_circRNA_102584
ASCRP3002100	hsa_circRNA_005054
ASCRP3002101	hsa_circRNA_090999
ASCRP3002102	hsa_circRNA_103614
ASCRP3002103	hsa_circRNA_100358
ASCRP3002104	hsa_circRNA_056473
ASCRP3002105	hsa_circRNA_405805
ASCRP3002106	hsa_circRNA_024251
ASCRP3002107	hsa_circRNA_400220
ASCRP3002108	hsa_circRNA_104434
ASCRP3002109	hsa_circRNA_401949
ASCRP3002110	hsa_circRNA_018315
ASCRP3002111	hsa_circRNA_067735
ASCRP3002112	hsa_circRNA_005152
ASCRP3002113	hsa_circRNA_000251
ASCRP3002114	hsa_circRNA_025554
ASCRP3002115	hsa_circRNA_404383
ASCRP3002116	hsa_circRNA_405906
ASCRP3002117	hsa_circRNA_012964
ASCRP3002118	hsa_circRNA_406707
ASCRP3002119	hsa_circRNA_101579
ASCRP3002120	hsa_circRNA_406647
ASCRP3002121	hsa_circRNA_004117
ASCRP3002122	hsa_circRNA_101463
ASCRP3002123	hsa_circRNA_405245
ASCRP3002124	hsa_circRNA_101612
ASCRP3002125	hsa_circRNA_103811
ASCRP3002126	hsa_circRNA_005338
ASCRP3002127	hsa_circRNA_101801
ASCRP3002128	hsa_circRNA_067574
ASCRP3002129	hsa_circRNA_050374
ASCRP3002130	hsa_circRNA_046689
ASCRP3002131	hsa_circRNA_100280
ASCRP3002132	hsa_circRNA_103775
ASCRP3002133	hsa_circRNA_002824
ASCRP3002134	hsa_circRNA_402483
ASCRP3002135	hsa_circRNA_032731
ASCRP3002136	hsa_circRNA_404559
ASCRP3002137	hsa_circRNA_401533
ASCRP3002138	hsa_circRNA_029987
ASCRP3002139	hsa_circRNA_101995
ASCRP3002140	hsa_circRNA_103070
ASCRP3002141	hsa_circRNA_400661
ASCRP3002142	hsa_circRNA_100039
ASCRP3002143	hsa_circRNA_100047
ASCRP3002144	hsa_circRNA_103533
ASCRP3002145	hsa_circRNA_059400
ASCRP3002146	hsa_circRNA_400296
ASCRP3002147	hsa_circRNA_402505
ASCRP3002148	hsa_circRNA_001555
ASCRP3002149	hsa_circRNA_006440
ASCRP3002150	hsa_circRNA_004119
ASCRP3002151	hsa_circRNA_016114
ASCRP3002152	hsa_circRNA_406135
ASCRP3002153	hsa_circRNA_102969
ASCRP3002154	hsa_circRNA_406721
ASCRP3002155	hsa_circRNA_004655
ASCRP3002156	hsa_circRNA_403705
ASCRP3002157	hsa_circRNA_406303
ASCRP3002158	hsa_circRNA_033572
ASCRP3002159	hsa_circRNA_405054
ASCRP3002160	hsa_circRNA_407346
ASCRP3002161	hsa_circRNA_060332
ASCRP3002162	hsa_circRNA_102622
ASCRP3002163	hsa_circRNA_405901
ASCRP3002164	hsa_circRNA_406030
ASCRP3002165	hsa_circRNA_103182
ASCRP3002166	hsa_circRNA_407138
ASCRP3002167	hsa_circRNA_406563
ASCRP3002168	hsa_circRNA_005843
ASCRP3002169	hsa_circRNA_003484
ASCRP3002170	hsa_circRNA_102963
ASCRP3002171	hsa_circRNA_104123
ASCRP3002172	hsa_circRNA_092523
ASCRP3002173	hsa_circRNA_101280
ASCRP3002174	hsa_circRNA_001231
ASCRP3002175	hsa_circRNA_406376
ASCRP3002176	hsa_circRNA_000585
ASCRP3002177	hsa_circRNA_006971
ASCRP3002178	hsa_circRNA_007322
ASCRP3002179	hsa_circRNA_008068
ASCRP3002180	hsa_circRNA_102097
ASCRP3002181	hsa_circRNA_092427
ASCRP3002182	hsa_circRNA_104548
ASCRP3002183	hsa_circRNA_406808
ASCRP3002184	hsa_circRNA_103427
ASCRP3002185	hsa_circRNA_014784
ASCRP3002186	hsa_circRNA_405313
ASCRP3002187	hsa_circRNA_037809
ASCRP3002188	hsa_circRNA_101046
ASCRP3002189	hsa_circRNA_001574
ASCRP3002190	hsa_circRNA_000541
ASCRP3002191	hsa_circRNA_000587
ASCRP3002192	hsa_circRNA_104570
ASCRP3002193	hsa_circRNA_101358
ASCRP3002194	hsa_circRNA_006402
ASCRP3002195	hsa_circRNA_104700
ASCRP3002196	hsa_circRNA_015115
ASCRP3002197	hsa_circRNA_030670
ASCRP3002198	hsa_circRNA_406811
ASCRP3002199	hsa_circRNA_004275
ASCRP3002200	hsa_circRNA_054595
ASCRP3002201	hsa_circRNA_002353
ASCRP3002202	hsa_circRNA_001319
ASCRP3002203	hsa_circRNA_007286
ASCRP3002204	hsa_circRNA_405131
ASCRP3002205	hsa_circRNA_406690
ASCRP3002206	hsa_circRNA_404908
ASCRP3002207	hsa_circRNA_405063
ASCRP3002208	hsa_circRNA_404628
ASCRP3002209	hsa_circRNA_101168
ASCRP3002210	hsa_circRNA_102140
ASCRP3002211	hsa_circRNA_406287
ASCRP3002212	hsa_circRNA_010972
ASCRP3002213	hsa_circRNA_047376
ASCRP3002214	hsa_circRNA_407047
ASCRP3002215	hsa_circRNA_103766
ASCRP3002216	hsa_circRNA_013338
ASCRP3002217	hsa_circRNA_401719
ASCRP3002218	hsa_circRNA_407220
ASCRP3002219	hsa_circRNA_008498
ASCRP3002220	hsa_circRNA_001468
ASCRP3002221	hsa_circRNA_007919
ASCRP3002222	hsa_circRNA_103008
ASCRP3002223	hsa_circRNA_100918
ASCRP3002224	hsa_circRNA_103734
ASCRP3002225	hsa_circRNA_042372
ASCRP3002226	hsa_circRNA_406555
ASCRP3002227	hsa_circRNA_103454
ASCRP3002228	hsa_circRNA_101622
ASCRP3002229	hsa_circRNA_002649
ASCRP3002230	hsa_circRNA_403848
ASCRP3002231	hsa_circRNA_033196
ASCRP3002232	hsa_circRNA_404488
ASCRP3002233	hsa_circRNA_101192
ASCRP3002234	hsa_circRNA_402092
ASCRP3002235	hsa_circRNA_006020
ASCRP3002236	hsa_circRNA_001590
ASCRP3002237	hsa_circRNA_032029
ASCRP3002238	hsa_circRNA_085692
ASCRP3002239	hsa_circRNA_102289
ASCRP3002240	hsa_circRNA_102912
ASCRP3002241	hsa_circRNA_102850
ASCRP3002242	hsa_circRNA_001992
ASCRP3002243	hsa_circRNA_405038
ASCRP3002244	hsa_circRNA_001961
ASCRP3002245	hsa_circRNA_104911
ASCRP3002246	hsa_circRNA_104913
ASCRP3002247	hsa_circRNA_079804
ASCRP3002248	hsa_circRNA_006560
ASCRP3002249	hsa_circRNA_006752
ASCRP3002250	hsa_circRNA_003493
ASCRP3002251	hsa_circRNA_101174
ASCRP3002252	hsa_circRNA_103374
ASCRP3002253	hsa_circRNA_103389
ASCRP3002254	hsa_circRNA_405153
ASCRP3002255	hsa_circRNA_101691
ASCRP3002256	hsa_circRNA_101288
ASCRP3002257	hsa_circRNA_406500
ASCRP3002258	hsa_circRNA_402369
ASCRP3002259	hsa_circRNA_003785
ASCRP3002260	hsa_circRNA_103639
ASCRP3002261	hsa_circRNA_404413
ASCRP3002262	hsa_circRNA_405276
ASCRP3002263	hsa_circRNA_001263
ASCRP3002264	hsa_circRNA_005046
ASCRP3002265	hsa_circRNA_102957
ASCRP3002266	hsa_circRNA_104564
ASCRP3002267	hsa_circRNA_103792
ASCRP3002268	hsa_circRNA_400604
ASCRP3002269	hsa_circRNA_078244
ASCRP3002270	hsa_circRNA_000992
ASCRP3002271	hsa_circRNA_403850
ASCRP3002272	hsa_circRNA_101421
ASCRP3002273	hsa_circRNA_103349
ASCRP3002274	hsa_circRNA_101342
ASCRP3002275	hsa_circRNA_052967
ASCRP3002276	hsa_circRNA_406289
ASCRP3002277	hsa_circRNA_101823
ASCRP3002278	hsa_circRNA_406237
ASCRP3002279	hsa_circRNA_406088
ASCRP3002280	hsa_circRNA_100793
ASCRP3002281	hsa_circRNA_406377
ASCRP3002282	hsa_circRNA_100948
ASCRP3002283	hsa_circRNA_001234
ASCRP3002284	hsa_circRNA_101019
ASCRP3002285	hsa_circRNA_004289
ASCRP3002286	hsa_circRNA_104000
ASCRP3002287	hsa_circRNA_102126
ASCRP3002288	hsa_circRNA_001357
ASCRP3002289	hsa_circRNA_081379
ASCRP3002290	hsa_circRNA_000226
ASCRP3002291	hsa_circRNA_015733
ASCRP3002292	hsa_circRNA_401578
ASCRP3002293	hsa_circRNA_400367
ASCRP3002294	hsa_circRNA_103046
ASCRP3002295	hsa_circRNA_406673
ASCRP3002296	hsa_circRNA_405150
ASCRP3002297	hsa_circRNA_405450
ASCRP3002298	hsa_circRNA_008320
ASCRP3002299	hsa_circRNA_001546
ASCRP3002300	hsa_circRNA_008331
ASCRP3002301	hsa_circRNA_063681
ASCRP3002302	hsa_circRNA_404941
ASCRP3002303	hsa_circRNA_404225
ASCRP3002304	hsa_circRNA_407058
ASCRP3002305	hsa_circRNA_011863
ASCRP3002306	hsa_circRNA_404792
ASCRP3002307	hsa_circRNA_100755
ASCRP3002308	hsa_circRNA_001622
ASCRP3002309	hsa_circRNA_101054
ASCRP3002310	hsa_circRNA_403692
ASCRP3002311	hsa_circRNA_003665
ASCRP3002312	hsa_circRNA_000415
ASCRP3002313	hsa_circRNA_008710
ASCRP3002314	hsa_circRNA_102937
ASCRP3002315	hsa_circRNA_092435
ASCRP3002316	hsa_circRNA_405328
ASCRP3002317	hsa_circRNA_000888
ASCRP3002318	hsa_circRNA_405338
ASCRP3002319	hsa_circRNA_104706
ASCRP3002320	hsa_circRNA_100219
ASCRP3002321	hsa_circRNA_004912
ASCRP3002322	hsa_circRNA_000827
ASCRP3002323	hsa_circRNA_100651
ASCRP3002324	hsa_circRNA_102010
ASCRP3002325	hsa_circRNA_101529
ASCRP3002326	hsa_circRNA_101795
ASCRP3002327	hsa_circRNA_016413
ASCRP3002328	hsa_circRNA_100991
ASCRP3002329	hsa_circRNA_406809
ASCRP3002330	hsa_circRNA_405954
ASCRP3002331	hsa_circRNA_100895
ASCRP3002332	hsa_circRNA_100717
ASCRP3002333	hsa_circRNA_102976
ASCRP3002334	hsa_circRNA_092505
ASCRP3002335	hsa_circRNA_001535
ASCRP3002336	hsa_circRNA_104040
ASCRP3002337	hsa_circRNA_103879
ASCRP3002338	hsa_circRNA_101069
ASCRP3002339	hsa_circRNA_103255
ASCRP3002340	hsa_circRNA_102698
ASCRP3002341	hsa_circRNA_089954
ASCRP3002342	hsa_circRNA_103330
ASCRP3002343	hsa_circRNA_103636
ASCRP3002344	hsa_circRNA_103200
ASCRP3002345	hsa_circRNA_006910
ASCRP3002346	hsa_circRNA_032891
ASCRP3002347	hsa_circRNA_406230
ASCRP3002348	hsa_circRNA_000964
ASCRP3002349	hsa_circRNA_000490
ASCRP3002350	hsa_circRNA_103570
ASCRP3002351	hsa_circRNA_404702
ASCRP3002352	hsa_circRNA_006776
ASCRP3002353	hsa_circRNA_102873
ASCRP3002354	hsa_circRNA_404610
ASCRP3002355	hsa_circRNA_007927
ASCRP3002356	hsa_circRNA_400094
ASCRP3002357	hsa_circRNA_402867
ASCRP3002358	hsa_circRNA_400102
ASCRP3002359	hsa_circRNA_103230
ASCRP3002360	hsa_circRNA_002781
ASCRP3002361	hsa_circRNA_023690
ASCRP3002362	hsa_circRNA_402961
ASCRP3002363	hsa_circRNA_403134
ASCRP3002364	hsa_circRNA_103720
ASCRP3002365	hsa_circRNA_407305
ASCRP3002366	hsa_circRNA_056362
ASCRP3002367	hsa_circRNA_084956
ASCRP3002368	hsa_circRNA_061007
ASCRP3002369	hsa_circRNA_407302
ASCRP3002370	hsa_circRNA_025501
ASCRP3002371	hsa_circRNA_102656
ASCRP3002372	hsa_circRNA_102869
ASCRP3002373	hsa_circRNA_406635
ASCRP3002374	hsa_circRNA_000093
ASCRP3002375	hsa_circRNA_103242
ASCRP3002376	hsa_circRNA_006222
ASCRP3002377	hsa_circRNA_082275
ASCRP3002378	hsa_circRNA_100950
ASCRP3002379	hsa_circRNA_104715
ASCRP3002380	hsa_circRNA_103530
ASCRP3002381	hsa_circRNA_104944
ASCRP3002382	hsa_circRNA_023670
ASCRP3002383	hsa_circRNA_035208
ASCRP3002384	hsa_circRNA_401374
ASCRP3002385	hsa_circRNA_007273
ASCRP3002386	hsa_circRNA_104069
ASCRP3002387	hsa_circRNA_077753
ASCRP3002388	hsa_circRNA_070216
ASCRP3002389	hsa_circRNA_008891
ASCRP3002390	hsa_circRNA_092398
ASCRP3002391	hsa_circRNA_037911
ASCRP3002392	hsa_circRNA_406604
ASCRP3002393	hsa_circRNA_001466
ASCRP3002394	hsa_circRNA_401933
ASCRP3002395	hsa_circRNA_104346
ASCRP3002396	hsa_circRNA_100976
ASCRP3002397	hsa_circRNA_103999
ASCRP3002398	hsa_circRNA_104080
ASCRP3002399	hsa_circRNA_008069
ASCRP3002400	hsa_circRNA_401253
ASCRP3002401	hsa_circRNA_092589
ASCRP3002402	hsa_circRNA_064277
ASCRP3002403	hsa_circRNA_101436
ASCRP3002404	hsa_circRNA_006270
ASCRP3002405	hsa_circRNA_103946
ASCRP3002406	hsa_circRNA_406949
ASCRP3002407	hsa_circRNA_100513
ASCRP3002408	hsa_circRNA_103905
ASCRP3002409	hsa_circRNA_101793
ASCRP3002410	hsa_circRNA_100375
ASCRP3002411	hsa_circRNA_100197
ASCRP3002412	hsa_circRNA_103174
ASCRP3002413	hsa_circRNA_103175
ASCRP3002414	hsa_circRNA_001176
ASCRP3002415	hsa_circRNA_407094
ASCRP3002416	hsa_circRNA_104590
ASCRP3002417	hsa_circRNA_400283
ASCRP3002418	hsa_circRNA_401782
ASCRP3002419	hsa_circRNA_101317
ASCRP3002420	hsa_circRNA_406464
ASCRP3002421	hsa_circRNA_404715
ASCRP3002422	hsa_circRNA_405483
ASCRP3002423	hsa_circRNA_002055
ASCRP3002424	hsa_circRNA_092383
ASCRP3002425	hsa_circRNA_400446
ASCRP3002426	hsa_circRNA_405870
ASCRP3002427	hsa_circRNA_002032
ASCRP3002428	hsa_circRNA_009677
ASCRP3002429	hsa_circRNA_405923
ASCRP3002430	hsa_circRNA_006518
ASCRP3002431	hsa_circRNA_104691
ASCRP3002432	hsa_circRNA_100174
ASCRP3002433	hsa_circRNA_102205
ASCRP3002434	hsa_circRNA_403250
ASCRP3002435	hsa_circRNA_009107
ASCRP3002436	hsa_circRNA_007255
ASCRP3002437	hsa_circRNA_404614
ASCRP3002438	hsa_circRNA_405309
ASCRP3002439	hsa_circRNA_103760
ASCRP3002440	hsa_circRNA_101092
ASCRP3002441	hsa_circRNA_102874
ASCRP3002442	hsa_circRNA_102286
ASCRP3002443	hsa_circRNA_017969
ASCRP3002444	hsa_circRNA_103238
ASCRP3002445	hsa_circRNA_103548
ASCRP3002446	hsa_circRNA_104139
ASCRP3002447	hsa_circRNA_407174
ASCRP3002448	hsa_circRNA_406412
ASCRP3002449	hsa_circRNA_081964
ASCRP3002450	hsa_circRNA_400618
ASCRP3002451	hsa_circRNA_404873
ASCRP3002452	hsa_circRNA_100886
ASCRP3002453	hsa_circRNA_404332
ASCRP3002454	hsa_circRNA_102767
ASCRP3002455	hsa_circRNA_100402
ASCRP3002456	hsa_circRNA_004893
ASCRP3002457	hsa_circRNA_017695
ASCRP3002458	hsa_circRNA_401068
ASCRP3002459	hsa_circRNA_102882
ASCRP3002460	hsa_circRNA_002556
ASCRP3002461	hsa_circRNA_102670
ASCRP3002462	hsa_circRNA_102679
ASCRP3002463	hsa_circRNA_073614
ASCRP3002464	hsa_circRNA_026213
ASCRP3002465	hsa_circRNA_002132
ASCRP3002466	hsa_circRNA_000079
ASCRP3002467	hsa_circRNA_404954
ASCRP3002468	hsa_circRNA_405659
ASCRP3002469	hsa_circRNA_405658
ASCRP3002470	hsa_circRNA_404609
ASCRP3002471	hsa_circRNA_102157
ASCRP3002472	hsa_circRNA_104402
ASCRP3002473	hsa_circRNA_407165
ASCRP3002474	hsa_circRNA_092022
ASCRP3002475	hsa_circRNA_011062
ASCRP3002476	hsa_circRNA_407205
ASCRP3002477	hsa_circRNA_103516
ASCRP3002478	hsa_circRNA_002106
ASCRP3002479	hsa_circRNA_102800
ASCRP3002480	hsa_circRNA_007854
ASCRP3002481	hsa_circRNA_091427
ASCRP3002482	hsa_circRNA_405219
ASCRP3002483	hsa_circRNA_062610
ASCRP3002484	hsa_circRNA_105053
ASCRP3002485	hsa_circRNA_102827
ASCRP3002486	hsa_circRNA_404845
ASCRP3002487	hsa_circRNA_005020
ASCRP3002488	hsa_circRNA_000281
ASCRP3002489	hsa_circRNA_406171
ASCRP3002490	hsa_circRNA_103632
ASCRP3002491	hsa_circRNA_101784
ASCRP3002492	hsa_circRNA_103782
ASCRP3002493	hsa_circRNA_405142
ASCRP3002494	hsa_circRNA_404733
ASCRP3002495	hsa_circRNA_406695
ASCRP3002496	hsa_circRNA_404595
ASCRP3002497	hsa_circRNA_103683
ASCRP3002498	hsa_circRNA_043259
ASCRP3002499	hsa_circRNA_002387
ASCRP3002500	hsa_circRNA_405896
ASCRP3002501	hsa_circRNA_003057
ASCRP3002502	hsa_circRNA_101906
ASCRP3002503	hsa_circRNA_100105
ASCRP3002504	hsa_circRNA_101348
ASCRP3002505	hsa_circRNA_061284
ASCRP3002506	hsa_circRNA_101800
ASCRP3002507	hsa_circRNA_024081
ASCRP3002508	hsa_circRNA_103473
ASCRP3002509	hsa_circRNA_051825
ASCRP3002510	hsa_circRNA_103998
ASCRP3002511	hsa_circRNA_406319
ASCRP3002512	hsa_circRNA_103298
ASCRP3002513	hsa_circRNA_406212
ASCRP3002514	hsa_circRNA_000595
ASCRP3002515	hsa_circRNA_406558
ASCRP3002516	hsa_circRNA_092372
ASCRP3002517	hsa_circRNA_402348
ASCRP3002518	hsa_circRNA_008952
ASCRP3002519	hsa_circRNA_004045
ASCRP3002520	hsa_circRNA_101408
ASCRP3002521	hsa_circRNA_406255
ASCRP3002522	hsa_circRNA_004182
ASCRP3002523	hsa_circRNA_406946
ASCRP3002524	hsa_circRNA_074089
ASCRP3002525	hsa_circRNA_007249
ASCRP3002526	hsa_circRNA_103094
ASCRP3002527	hsa_circRNA_405019
ASCRP3002528	hsa_circRNA_405262
ASCRP3002529	hsa_circRNA_104509
ASCRP3002530	hsa_circRNA_101525
ASCRP3002531	hsa_circRNA_104354
ASCRP3002532	hsa_circRNA_000807
ASCRP3002533	hsa_circRNA_006505
ASCRP3002534	hsa_circRNA_092148
ASCRP3002535	hsa_circRNA_043599
ASCRP3002536	hsa_circRNA_067550
ASCRP3002537	hsa_circRNA_407048
ASCRP3002538	hsa_circRNA_066465
ASCRP3002539	hsa_circRNA_064984
ASCRP3002540	hsa_circRNA_064985
ASCRP3002541	hsa_circRNA_060325
ASCRP3002542	hsa_circRNA_088276
ASCRP3002543	hsa_circRNA_015635
ASCRP3002544	hsa_circRNA_026133
ASCRP3002545	hsa_circRNA_104224
ASCRP3002546	hsa_circRNA_023612
ASCRP3002547	hsa_circRNA_080091
ASCRP3002548	hsa_circRNA_031776
ASCRP3002549	hsa_circRNA_065384
ASCRP3002550	hsa_circRNA_004800
ASCRP3002551	hsa_circRNA_001699
ASCRP3002552	hsa_circRNA_405332
ASCRP3002553	hsa_circRNA_078543
ASCRP3002554	hsa_circRNA_406760
ASCRP3002555	hsa_circRNA_005686
ASCRP3002556	hsa_circRNA_102745
ASCRP3002557	hsa_circRNA_010988
ASCRP3002558	hsa_circRNA_051907
ASCRP3002559	hsa_circRNA_077755
ASCRP3002560	hsa_circRNA_010990
ASCRP3002561	hsa_circRNA_086474
ASCRP3002562	hsa_circRNA_101397
ASCRP3002563	hsa_circRNA_040747
ASCRP3002564	hsa_circRNA_404957
ASCRP3002565	hsa_circRNA_101545
ASCRP3002566	hsa_circRNA_406010
ASCRP3002567	hsa_circRNA_100422
ASCRP3002568	hsa_circRNA_000950
ASCRP3002569	hsa_circRNA_401920
ASCRP3002570	hsa_circRNA_100798
ASCRP3002571	hsa_circRNA_407029
ASCRP3002572	hsa_circRNA_402422
ASCRP3002573	hsa_circRNA_100357
ASCRP3002574	hsa_circRNA_400200
ASCRP3002575	hsa_circRNA_000480
ASCRP3002576	hsa_circRNA_405669
ASCRP3002577	hsa_circRNA_002545
ASCRP3002578	hsa_circRNA_401413
ASCRP3002579	hsa_circRNA_005987
ASCRP3002580	hsa_circRNA_100152
ASCRP3002581	hsa_circRNA_020964
ASCRP3002582	hsa_circRNA_020959
ASCRP3002583	hsa_circRNA_034100
ASCRP3002584	hsa_circRNA_028215
ASCRP3002585	hsa_circRNA_103091
ASCRP3002586	hsa_circRNA_060928
ASCRP3002587	hsa_circRNA_401940
ASCRP3002588	hsa_circRNA_407100
ASCRP3002589	hsa_circRNA_043509
ASCRP3002590	hsa_circRNA_001959
ASCRP3002591	hsa_circRNA_008974
ASCRP3002592	hsa_circRNA_404883
ASCRP3002593	hsa_circRNA_104136
ASCRP3002594	hsa_circRNA_103612
ASCRP3002595	hsa_circRNA_102317
ASCRP3002596	hsa_circRNA_003929
ASCRP3002597	hsa_circRNA_065499
ASCRP3002598	hsa_circRNA_401595
ASCRP3002599	hsa_circRNA_000709
ASCRP3002600	hsa_circRNA_100272
ASCRP3002601	hsa_circRNA_102272
ASCRP3002602	hsa_circRNA_073848
ASCRP3002603	hsa_circRNA_104039
ASCRP3002604	hsa_circRNA_078353
ASCRP3002605	hsa_circRNA_400710
ASCRP3002606	hsa_circRNA_071228
ASCRP3002607	hsa_circRNA_031977
ASCRP3002608	hsa_circRNA_012722
ASCRP3002609	hsa_circRNA_103430
ASCRP3002610	hsa_circRNA_003898
ASCRP3002611	hsa_circRNA_406038
ASCRP3002612	hsa_circRNA_101621
ASCRP3002613	hsa_circRNA_400959
ASCRP3002614	hsa_circRNA_091000
ASCRP3002615	hsa_circRNA_404962
ASCRP3002616	hsa_circRNA_104864
ASCRP3002617	hsa_circRNA_403576
ASCRP3002618	hsa_circRNA_401195
ASCRP3002619	hsa_circRNA_101775
