ProbeName	circRNA
ASCRP3000152	hsa_circRNA_011153
ASCRP3000153	hsa_circRNA_100865
ASCRP3000154	hsa_circRNA_103745
ASCRP3000155	hsa_circRNA_104194
ASCRP3000156	hsa_circRNA_101224
ASCRP3000157	hsa_circRNA_090099
ASCRP3000158	hsa_circRNA_100885
ASCRP3000159	hsa_circRNA_088498
ASCRP3000160	hsa_circRNA_404608
ASCRP3000161	hsa_circRNA_087659
ASCRP3000162	hsa_circRNA_400732
ASCRP3000163	hsa_circRNA_103432
ASCRP3000164	hsa_circRNA_403821
ASCRP3000165	hsa_circRNA_401846
ASCRP3000166	hsa_circRNA_102078
ASCRP3000167	hsa_circRNA_103556
ASCRP3000168	hsa_circRNA_102324
ASCRP3000169	hsa_circRNA_001196
ASCRP3000170	hsa_circRNA_021003
ASCRP3000171	hsa_circRNA_001747
ASCRP3000172	hsa_circRNA_103314
ASCRP3000173	hsa_circRNA_046753
ASCRP3000174	hsa_circRNA_005880
ASCRP3000175	hsa_circRNA_045801
ASCRP3000176	hsa_circRNA_406786
ASCRP3000177	hsa_circRNA_406197
ASCRP3000178	hsa_circRNA_400435
ASCRP3000179	hsa_circRNA_002554
ASCRP3000180	hsa_circRNA_100676
ASCRP3000181	hsa_circRNA_000615
ASCRP3000182	hsa_circRNA_009118
ASCRP3000183	hsa_circRNA_407172
ASCRP3000184	hsa_circRNA_401083
ASCRP3000185	hsa_circRNA_067524
ASCRP3000186	hsa_circRNA_001104
ASCRP3000187	hsa_circRNA_404765
ASCRP3000188	hsa_circRNA_405630
ASCRP3000189	hsa_circRNA_016681
ASCRP3000190	hsa_circRNA_102686
ASCRP3000191	hsa_circRNA_104090
ASCRP3000192	hsa_circRNA_039783
ASCRP3000193	hsa_circRNA_002961
ASCRP3000194	hsa_circRNA_103943
ASCRP3000195	hsa_circRNA_405972
ASCRP3000196	hsa_circRNA_006811
ASCRP3000197	hsa_circRNA_007260
ASCRP3000198	hsa_circRNA_086376
ASCRP3000199	hsa_circRNA_102890
ASCRP3000200	hsa_circRNA_067240
ASCRP3000201	hsa_circRNA_005828
ASCRP3000202	hsa_circRNA_102469
ASCRP3000203	hsa_circRNA_103795
ASCRP3000204	hsa_circRNA_102891
ASCRP3000205	hsa_circRNA_002876
ASCRP3000206	hsa_circRNA_101375
ASCRP3000207	hsa_circRNA_100794
ASCRP3000208	hsa_circRNA_104770
ASCRP3000209	hsa_circRNA_021832
ASCRP3000210	hsa_circRNA_079201
ASCRP3000211	hsa_circRNA_001710
ASCRP3000212	hsa_circRNA_000506
ASCRP3000213	hsa_circRNA_102781
ASCRP3000214	hsa_circRNA_002635
ASCRP3000215	hsa_circRNA_103868
ASCRP3000216	hsa_circRNA_024067
ASCRP3000217	hsa_circRNA_100018
ASCRP3000218	hsa_circRNA_406294
ASCRP3000219	hsa_circRNA_405479
ASCRP3000220	hsa_circRNA_407327
ASCRP3000221	hsa_circRNA_104766
ASCRP3000222	hsa_circRNA_405026
ASCRP3000223	hsa_circRNA_103630
ASCRP3000224	hsa_circRNA_101378
ASCRP3000225	hsa_circRNA_102892
ASCRP3000226	hsa_circRNA_105043
ASCRP3000227	hsa_circRNA_100816
ASCRP3000228	hsa_circRNA_406051
ASCRP3000229	hsa_circRNA_102923
ASCRP3000230	hsa_circRNA_406107
ASCRP3000231	hsa_circRNA_404544
ASCRP3000232	hsa_circRNA_400893
ASCRP3000233	hsa_circRNA_405573
ASCRP3000234	hsa_circRNA_001635
ASCRP3000235	hsa_circRNA_405908
ASCRP3000236	hsa_circRNA_102766
ASCRP3000237	hsa_circRNA_002102
ASCRP3000238	hsa_circRNA_092535
ASCRP3000239	hsa_circRNA_101527
ASCRP3000240	hsa_circRNA_049704
ASCRP3000241	hsa_circRNA_030448
ASCRP3000242	hsa_circRNA_017037
ASCRP3000243	hsa_circRNA_104751
ASCRP3000244	hsa_circRNA_104883
ASCRP3000245	hsa_circRNA_103991
ASCRP3000246	hsa_circRNA_076654
ASCRP3000247	hsa_circRNA_101648
ASCRP3000248	hsa_circRNA_034559
ASCRP3000249	hsa_circRNA_100418
ASCRP3000250	hsa_circRNA_089506
ASCRP3000251	hsa_circRNA_100719
ASCRP3000252	hsa_circRNA_001220
ASCRP3000253	hsa_circRNA_102013
ASCRP3000254	hsa_circRNA_104026
ASCRP3000255	hsa_circRNA_400694
ASCRP3000256	hsa_circRNA_005248
ASCRP3000257	hsa_circRNA_083824
